Location,State,County,Diversity-Index
"Clarke County, GA", GA,Clarke County,0.591439
"Duval County, FL", FL,Duval County,0.591257
"Bernalillo County, NM", NM,Bernalillo County,0.591041
"Brazos County, TX", TX,Brazos County,0.590878
"Yuba County, CA", CA,Yuba County,0.590487
"Leake County, MS", MS,Leake County,0.590242
"Henry County, GA", GA,Henry County,0.589671
"Atkinson County, GA", GA,Atkinson County,0.588653
"Wayne County, MI", MI,Wayne County,0.588653
"Somerset County, NJ", NJ,Somerset County,0.587819
"Loudoun County, VA", VA,Loudoun County,0.587233
"Dakota County, NE", NE,Dakota County,0.587216
"Scott County, MS", MS,Scott County,0.58712
"Peach County, GA", GA,Peach County,0.586408
"Wayne County, NC", NC,Wayne County,0.586224
"Camp County, TX", TX,Camp County,0.58605
"Mahnomen County, MN", MN,Mahnomen County,0.585015
"Palm Beach County, FL", FL,Palm Beach County,0.584873
"Galveston County, TX", TX,Galveston County,0.584602
"Hampton city, VA", VA,Hampton city,0.584464
"Hempstead County, AR", AR,Hempstead County,0.584416
"Moore County, TX", TX,Moore County,0.584092
"Walker County, TX", TX,Walker County,0.58408
"Colquitt County, GA", GA,Colquitt County,0.583928
"Santa Barbara County, CA", CA,Santa Barbara County,0.583869
"DeSoto County, FL", FL,DeSoto County,0.583858
"Napa County, CA", CA,Napa County,0.583815
"Chatham County, GA", GA,Chatham County,0.583735
"Davidson County, TN", TN,Davidson County,0.583618
"Hardee County, FL", FL,Hardee County,0.583248
"Richmond city, VA", VA,Richmond city,0.583002
"Camden County, NJ", NJ,Camden County,0.582783
"Lee County, NC", NC,Lee County,0.582159
"Warren County, NC", NC,Warren County,0.581779
"Bergen County, NJ", NJ,Bergen County,0.581402
"McLennan County, TX", TX,McLennan County,0.58121
"Bradley County, AR", AR,Bradley County,0.580794
"Fairfax city, VA", VA,Fairfax city,0.580696
"Curry County, NM", NM,Curry County,0.580366
"Guadalupe County, TX", TX,Guadalupe County,0.580362
"Richland County, SC", SC,Richland County,0.580247
"St. Louis city, MO", MO,St. Louis city,0.578466
"Collin County, TX", TX,Collin County,0.578365
"Robertson County, TX", TX,Robertson County,0.577508
"Caddo County, OK", OK,Caddo County,0.577476
"Hopewell city, VA", VA,Hopewell city,0.577249
"Neshoba County, MS", MS,Neshoba County,0.577085
"Pima County, AZ", AZ,Pima County,0.576978
"Tyrrell County, NC", NC,Tyrrell County,0.576528
"Merced County, CA", CA,Merced County,0.576306
"Crowley County, CO", CO,Crowley County,0.57623
"Karnes County, TX", TX,Karnes County,0.576124
"Coryell County, TX", TX,Coryell County,0.576055
"Marlboro County, SC", SC,Marlboro County,0.575977
"Midland County, TX", TX,Midland County,0.575881
"Hamilton County, FL", FL,Hamilton County,0.575657
"Calhoun County, TX", TX,Calhoun County,0.575457
"Navarro County, TX", TX,Navarro County,0.575335
"Victoria County, TX", TX,Victoria County,0.575256
"East Baton Rouge Parish, LA", LA,East Baton Rouge Parish,0.574996
"Bladen County, NC", NC,Bladen County,0.573888
"Forsyth County, NC", NC,Forsyth County,0.573836
"Tift County, GA", GA,Tift County,0.573803
"Caldwell County, TX", TX,Caldwell County,0.57378
"Swisher County, TX", TX,Swisher County,0.57337
"Gregg County, TX", TX,Gregg County,0.572375
"Shelby County, TN", TN,Shelby County,0.572351
"Adams County, CO", CO,Adams County,0.572274
"Pulaski County, AR", AR,Pulaski County,0.572213
"Marion County, IN", IN,Marion County,0.572081
"Northampton County, VA", VA,Northampton County,0.57207
"Gadsden County, FL", FL,Gadsden County,0.572044
"Fredericksburg city, VA", VA,Fredericksburg city,0.571987
"Maricopa County, AZ", AZ,Maricopa County,0.571908
"Nash County, NC", NC,Nash County,0.571598
"Saluda County, SC", SC,Saluda County,0.571553
"Lenoir County, NC", NC,Lenoir County,0.571432
"Finney County, KS", KS,Finney County,0.571327
"Lubbock County, TX", TX,Lubbock County,0.570089
"Prince George County, VA", VA,Prince George County,0.569355
"Monterey County, CA", CA,Monterey County,0.569329
"Pinal County, AZ", AZ,Pinal County,0.569087
"Howard County, TX", TX,Howard County,0.568861
"Refugio County, TX", TX,Refugio County,0.568622
"Chattahoochee County, GA", GA,Chattahoochee County,0.568621
"Evans County, GA", GA,Evans County,0.568559
"St. Lucie County, FL", FL,St. Lucie County,0.568454
"Long County, GA", GA,Long County,0.568373
"Grimes County, TX", TX,Grimes County,0.567388
"St. Mary Parish, LA", LA,St. Mary Parish,0.566763
"Nacogdoches County, TX", TX,Nacogdoches County,0.56654
"Vance County, NC", NC,Vance County,0.566401
"New Castle County, DE", DE,New Castle County,0.56628
"Gonzales County, TX", TX,Gonzales County,0.565984
"Garza County, TX", TX,Garza County,0.565915
"Adams County, MS", MS,Adams County,0.565573
"Yakima County, WA", WA,Yakima County,0.565561
"Russell County, AL", AL,Russell County,0.565034
"Martinsville city, VA", VA,Martinsville city,0.564655
"Bastrop County, TX", TX,Bastrop County,0.564482
"Colorado County, TX", TX,Colorado County,0.564287
"Wake County, NC", NC,Wake County,0.56412
"Dooly County, GA", GA,Dooly County,0.563911
"Glades County, FL", FL,Glades County,0.563845
"Texas County, OK", OK,Texas County,0.56384
"Anderson County, TX", TX,Anderson County,0.562471
"Richmond County, NC", NC,Richmond County,0.562048
"Suffolk city, VA", VA,Suffolk city,0.562004
"Halifax County, NC", NC,Halifax County,0.561931
"DeWitt County, TX", TX,DeWitt County,0.561553
"Choctaw County, OK", OK,Choctaw County,0.561534
"Newton County, GA", GA,Newton County,0.560536
"Okfuskee County, OK", OK,Okfuskee County,0.560324
"Jefferson County, OR", OR,Jefferson County,0.560293
"Dillon County, SC", SC,Dillon County,0.560247
"Sumter County, SC", SC,Sumter County,0.560046
"Leon County, FL", FL,Leon County,0.559992
"San Juan County, UT", UT,San Juan County,0.559965
"King County, WA", WA,King County,0.559801
"Limestone County, TX", TX,Limestone County,0.559616
"Terrell County, TX", TX,Terrell County,0.55917
"Childress County, TX", TX,Childress County,0.558921
"Denton County, TX", TX,Denton County,0.558831
"Tattnall County, GA", GA,Tattnall County,0.558678
"Cochise County, AZ", AZ,Cochise County,0.558496
"Lowndes County, GA", GA,Lowndes County,0.558475
"Smith County, TX", TX,Smith County,0.558215
"Houston County, GA", GA,Houston County,0.557975
"Sumter County, GA", GA,Sumter County,0.557514
"Grady County, GA", GA,Grady County,0.557299
"Decatur County, GA", GA,Decatur County,0.556909
"Richmond County, GA", GA,Richmond County,0.556878
"Barbour County, AL", AL,Barbour County,0.556605
"Anson County, NC", NC,Anson County,0.556216
"Arapahoe County, CO", CO,Arapahoe County,0.556092
"Kane County, IL", IL,Kane County,0.556089
"Pitt County, NC", NC,Pitt County,0.555853
"Bexar County, TX", TX,Bexar County,0.555597
"Mellette County, SD", SD,Mellette County,0.555249
"Jefferson County, AL", AL,Jefferson County,0.554916
"Somerset County, MD", MD,Somerset County,0.554775
"Baker County, GA", GA,Baker County,0.554672
"Ward County, TX", TX,Ward County,0.554663
"Pasquotank County, NC", NC,Pasquotank County,0.554213
"Portsmouth city, VA", VA,Portsmouth city,0.553946
"Coffee County, GA", GA,Coffee County,0.55373
"Bee County, TX", TX,Bee County,0.553516
"Dawson County, TX", TX,Dawson County,0.553319
"Mitchell County, GA", GA,Mitchell County,0.553171
"Sitka City and Borough, AK", AK,Sitka City and Borough,0.553092
"Tulsa County, OK", OK,Tulsa County,0.552901
"Chesapeake city, VA", VA,Chesapeake city,0.552588
"Franklin County, WA", WA,Franklin County,0.55247
"Arlington County, VA", VA,Arlington County,0.552435
"Madera County, CA", CA,Madera County,0.552329
"Baltimore County, MD", MD,Baltimore County,0.552251
"Del Norte County, CA", CA,Del Norte County,0.552126
"Okmulgee County, OK", OK,Okmulgee County,0.552011
"Harmon County, OK", OK,Harmon County,0.551609
"Nassau County, NY", NY,Nassau County,0.551435
"St. Francis County, AR", AR,St. Francis County,0.551363
"Jones County, TX", TX,Jones County,0.551138
"Glenn County, CA", CA,Glenn County,0.550859
"Danville city, VA", VA,Danville city,0.550431
"Caddo Parish, LA", LA,Caddo Parish,0.550416
"Hall County, TX", TX,Hall County,0.550134
"Ben Hill County, GA", GA,Ben Hill County,0.549835
"Jackson County, SD", SD,Jackson County,0.549787
"Ford County, KS", KS,Ford County,0.549745
"Washington County, NC", NC,Washington County,0.54963
"Jenkins County, GA", GA,Jenkins County,0.549508
"Greenlee County, AZ", AZ,Greenlee County,0.548693
"Tillman County, OK", OK,Tillman County,0.548564
"Greene County, GA", GA,Greene County,0.548329
"Desha County, AR", AR,Desha County,0.54832
"Cherokee County, TX", TX,Cherokee County,0.54817
"Madison County, FL", FL,Madison County,0.548148
"Osage County, OK", OK,Osage County,0.547996
"Taos County, NM", NM,Taos County,0.547937
"Richmond County, NY", NY,Richmond County,0.547813
"Bent County, CO", CO,Bent County,0.547807
"Angelina County, TX", TX,Angelina County,0.547671
"St. John the Baptist Parish, LA", LA,St. John the Baptist Parish,0.547468
"Crisp County, GA", GA,Crisp County,0.547463
"Hockley County, TX", TX,Hockley County,0.54735
"Santa Fe County, NM", NM,Santa Fe County,0.547292
"McCurtain County, OK", OK,McCurtain County,0.547169
"Alachua County, FL", FL,Alachua County,0.547155
"Granville County, NC", NC,Granville County,0.547051
"Williamson County, TX", TX,Williamson County,0.546895
"Bibb County, GA", GA,Bibb County,0.546816
"Virginia Beach city, VA", VA,Virginia Beach city,0.546513
"Lincoln Parish, LA", LA,Lincoln Parish,0.546476
"Essex County, VA", VA,Essex County,0.546371
"Tallahatchie County, MS", MS,Tallahatchie County,0.54594
"Tom Green County, TX", TX,Tom Green County,0.545529
"Wilkes County, GA", GA,Wilkes County,0.54545
"Toombs County, GA", GA,Toombs County,0.545306
"Montgomery County, AL", AL,Montgomery County,0.544959
"Polk County, FL", FL,Polk County,0.544458
"Scurry County, TX", TX,Scurry County,0.543962
"Santa Cruz County, CA", CA,Santa Cruz County,0.543935
"Haywood County, TN", TN,Haywood County,0.543823
"Lea County, NM", NM,Lea County,0.543478
"Chicot County, AR", AR,Chicot County,0.543411
"Alamosa County, CO", CO,Alamosa County,0.543385
"Terry County, TX", TX,Terry County,0.543243
"Edgefield County, SC", SC,Edgefield County,0.543149
"Wilbarger County, TX", TX,Wilbarger County,0.542915
"Burke County, GA", GA,Burke County,0.542753
"La Paz County, AZ", AZ,La Paz County,0.542742
"Harnett County, NC", NC,Harnett County,0.542616
"Lamb County, TX", TX,Lamb County,0.542523
"Natchitoches Parish, LA", LA,Natchitoches Parish,0.542471
"Marion County, GA", GA,Marion County,0.542337
"Seward County, KS", KS,Seward County,0.542263
"Rockland County, NY", NY,Rockland County,0.542071
"Sevier County, AR", AR,Sevier County,0.541947
"Torrance County, NM", NM,Torrance County,0.54178
"Ketchikan Gateway Borough, AK", AK,Ketchikan Gateway Borough,0.541652
"Chickasaw County, MS", MS,Chickasaw County,0.540811
"Marshall County, MS", MS,Marshall County,0.540785
"Martin County, NC", NC,Martin County,0.540574
"Roosevelt County, NM", NM,Roosevelt County,0.540543
"Hays County, TX", TX,Hays County,0.540343
"Madison County, MS", MS,Madison County,0.540075
"Ector County, TX", TX,Ector County,0.540002
"Accomack County, VA", VA,Accomack County,0.539878
"Florence County, SC", SC,Florence County,0.539644
"Quay County, NM", NM,Quay County,0.539621
"Houston County, TX", TX,Houston County,0.539116
"Baldwin County, GA", GA,Baldwin County,0.539025
"Ramsey County, MN", MN,Ramsey County,0.538819
"Hampton County, SC", SC,Hampton County,0.538618
"Webster County, GA", GA,Webster County,0.538615
"Barnwell County, SC", SC,Barnwell County,0.538596
"Orleans Parish, LA", LA,Orleans Parish,0.538532
"Crosby County, TX", TX,Crosby County,0.538474
"Nottoway County, VA", VA,Nottoway County,0.53813
"Las Animas County, CO", CO,Las Animas County,0.538094
"Turner County, GA", GA,Turner County,0.537973
"Medina County, TX", TX,Medina County,0.53763
"Cuyahoga County, OH", OH,Cuyahoga County,0.537606
"Hyde County, NC", NC,Hyde County,0.537389
"Columbus County, NC", NC,Columbus County,0.537243
"Clarendon County, SC", SC,Clarendon County,0.537069
"Eddy County, NM", NM,Eddy County,0.536931
"Pueblo County, CO", CO,Pueblo County,0.536856
"Roanoke city, VA", VA,Roanoke city,0.536736
"Lake County, IL", IL,Lake County,0.536693
"Calhoun County, SC", SC,Calhoun County,0.536629
"Brooks County, GA", GA,Brooks County,0.536623
"Yazoo County, MS", MS,Yazoo County,0.53656
"Live Oak County, TX", TX,Live Oak County,0.536361
"Pike County, AL", AL,Pike County,0.536147
"Jackson County, MO", MO,Jackson County,0.53569
"Mobile County, AL", AL,Mobile County,0.535304
"Dallam County, TX", TX,Dallam County,0.535203
"Crittenden County, AR", AR,Crittenden County,0.535179
"Hartford County, CT", CT,Hartford County,0.534966
"Dallas County, AR", AR,Dallas County,0.534764
"Warren County, MS", MS,Warren County,0.534763
"Union County, NM", NM,Union County,0.534597
"Shelby County, TX", TX,Shelby County,0.534549
"Newberry County, SC", SC,Newberry County,0.534485
"Madison County, TN", TN,Madison County,0.534441
"Surry County, VA", VA,Surry County,0.534312
"Troup County, GA", GA,Troup County,0.534138
"Cochran County, TX", TX,Cochran County,0.534065
"Seminole County, FL", FL,Seminole County,0.533994
"Juneau City and Borough, AK", AK,Juneau City and Borough,0.533985
"Montgomery County, NC", NC,Montgomery County,0.533881
"Lynn County, TX", TX,Lynn County,0.53385
"Upton County, TX", TX,Upton County,0.533817
"Wheeler County, GA", GA,Wheeler County,0.533755
"Hale County, TX", TX,Hale County,0.533668
"Lee County, AR", AR,Lee County,0.533449
"Iberia Parish, LA", LA,Iberia Parish,0.533312
"Jackson County, TX", TX,Jackson County,0.533163
"Jefferson County, GA", GA,Jefferson County,0.533134
"Grant County, NM", NM,Grant County,0.533092
"Thurston County, NE", NE,Thurston County,0.533076
"Oktibbeha County, MS", MS,Oktibbeha County,0.53302
"Copiah County, MS", MS,Copiah County,0.532785
"Early County, GA", GA,Early County,0.53262
"Franklin city, VA", VA,Franklin city,0.532569
"Colfax County, NM", NM,Colfax County,0.532294
"Gila County, AZ", AZ,Gila County,0.532117
"Fairfield County, CT", CT,Fairfield County,0.531964
"Colleton County, SC", SC,Colleton County,0.531762
"Iberville Parish, LA", LA,Iberville Parish,0.531761
"Chaves County, NM", NM,Chaves County,0.531654
"Blaine County, MT", MT,Blaine County,0.531525
"Bennett County, SD", SD,Bennett County,0.531492
"Chesterfield County, VA", VA,Chesterfield County,0.531245
"Nolan County, TX", TX,Nolan County,0.531194
"McDuffie County, GA", GA,McDuffie County,0.531113
"Hughes County, OK", OK,Hughes County,0.53108
"Brewster County, TX", TX,Brewster County,0.531015
"Monroe County, AL", AL,Monroe County,0.530753
"Forrest County, MS", MS,Forrest County,0.530621
"Hall County, GA", GA,Hall County,0.530604
"Goliad County, TX", TX,Goliad County,0.530362
"Marion County, SC", SC,Marion County,0.530066
"Lowndes County, MS", MS,Lowndes County,0.529928
"Andrews County, TX", TX,Andrews County,0.529877
"Lauderdale County, MS", MS,Lauderdale County,0.529162
"Martin County, TX", TX,Martin County,0.529058
