Location,State,County,Diversity-Index
"St. Clair County, IL", IL,St. Clair County,0.513649
"Talbot County, GA", GA,Talbot County,0.51354
"Tulare County, CA", CA,Tulare County,0.512942
"Fayette County, GA", GA,Fayette County,0.512896
"Kemper County, MS", MS,Kemper County,0.512829
"Union County, AR", AR,Union County,0.512687
"Charlottesville city, VA", VA,Charlottesville city,0.512658
"Sherman County, TX", TX,Sherman County,0.512615
"Yuma County, AZ", AZ,Yuma County,0.512612
"Crane County, TX", TX,Crane County,0.512567
"Wilson County, TX", TX,Wilson County,0.51243
"Dawson County, NE", NE,Dawson County,0.512421
"Taylor County, GA", GA,Taylor County,0.512362
"Glynn County, GA", GA,Glynn County,0.512312
"Ottawa County, OK", OK,Ottawa County,0.51229
"Echols County, GA", GA,Echols County,0.512089
"Chowan County, NC", NC,Chowan County,0.511982
"Hidalgo County, NM", NM,Hidalgo County,0.511588
"Northampton County, NC", NC,Northampton County,0.510927
"Harding County, NM", NM,Harding County,0.510923
"Sterling County, TX", TX,Sterling County,0.510528
"Concordia Parish, LA", LA,Concordia Parish,0.51051
"Escambia County, FL", FL,Escambia County,0.510463
"Edwards County, TX", TX,Edwards County,0.510336
"Fairfield County, SC", SC,Fairfield County,0.510092
"Calhoun County, GA", GA,Calhoun County,0.51002
"Morgan County, CO", CO,Morgan County,0.510019
"Miami-Dade County, FL", FL,Miami-Dade County,0.510018
"Lauderdale County, TN", TN,Lauderdale County,0.509963
"Swain County, NC", NC,Swain County,0.509809
"Alamance County, NC", NC,Alamance County,0.5098
"Charlton County, GA", GA,Charlton County,0.50976
"Caroline County, VA", VA,Caroline County,0.509671
"Gaines County, TX", TX,Gaines County,0.509607
"Mayes County, OK", OK,Mayes County,0.508904
"Caswell County, NC", NC,Caswell County,0.50886
"Dickens County, TX", TX,Dickens County,0.508792
"Howard County, AR", AR,Howard County,0.507901
"Harrison County, MS", MS,Harrison County,0.507704
"Red River Parish, LA", LA,Red River Parish,0.506965
"Greensville County, VA", VA,Greensville County,0.506892
"Lake County, CO", CO,Lake County,0.506823
"Plaquemines Parish, LA", LA,Plaquemines Parish,0.506809
"Morris County, TX", TX,Morris County,0.5068
"Dorchester County, SC", SC,Dorchester County,0.506692
"Taylor County, TX", TX,Taylor County,0.506541
"Terrell County, GA", GA,Terrell County,0.506501
"Bowie County, TX", TX,Bowie County,0.506452
"Wicomico County, MD", MD,Wicomico County,0.506295
"Halifax County, VA", VA,Halifax County,0.506259
"Choctaw County, AL", AL,Choctaw County,0.50622
"Buckingham County, VA", VA,Buckingham County,0.506041
"Washington County, AL", AL,Washington County,0.50599
"Marshall County, OK", OK,Marshall County,0.505987
"Onslow County, NC", NC,Onslow County,0.505971
"Burleson County, TX", TX,Burleson County,0.505581
"Collier County, FL", FL,Collier County,0.50557
"Franklin County, OH", OH,Franklin County,0.505504
"Malheur County, OR", OR,Malheur County,0.505367
"Sonoma County, CA", CA,Sonoma County,0.505207
"Amite County, MS", MS,Amite County,0.505187
"Madison County, AL", AL,Madison County,0.504851
"Yalobusha County, MS", MS,Yalobusha County,0.504723
"Benton County, MS", MS,Benton County,0.50471
"Orange County, NY", NY,Orange County,0.504601
"Clay County, GA", GA,Clay County,0.504339
"Lafayette County, AR", AR,Lafayette County,0.50425
"Wichita County, TX", TX,Wichita County,0.503696
"Hampden County, MA", MA,Hampden County,0.503566
"Emporia city, VA", VA,Emporia city,0.503525
"Elbert County, GA", GA,Elbert County,0.503023
"Hale County, AL", AL,Hale County,0.502985
"Pointe Coupee Parish, LA", LA,Pointe Coupee Parish,0.502885
"Cottle County, TX", TX,Cottle County,0.502624
"Okanogan County, WA", WA,Okanogan County,0.50248
"Pulaski County, GA", GA,Pulaski County,0.502412
"Wayne County, MS", MS,Wayne County,0.502262
"Prince Edward County, VA", VA,Prince Edward County,0.502044
"Nowata County, OK", OK,Nowata County,0.50196
"Petersburg Census Area, AK", AK,Petersburg Census Area,0.501683
"Craven County, NC", NC,Craven County,0.501585
"Morrow County, OR", OR,Morrow County,0.501484
"Stanton County, KS", KS,Stanton County,0.501455
"Beaufort County, SC", SC,Beaufort County,0.501455
"Cook County, GA", GA,Cook County,0.500979
"Southampton County, VA", VA,Southampton County,0.500838
"McIntosh County, GA", GA,McIntosh County,0.500647
"Clayton County, GA", GA,Clayton County,0.50011
"Richland Parish, LA", LA,Richland Parish,0.499691
"Pierce County, WA", WA,Pierce County,0.499671
"Bronx County, NY", NY,Bronx County,0.499601
"McMullen County, TX", TX,McMullen County,0.498969
"Clay County, MS", MS,Clay County,0.498807
"Seminole County, GA", GA,Seminole County,0.498754
"Lake County, MT", MT,Lake County,0.498704
"Tuscaloosa County, AL", AL,Tuscaloosa County,0.498631
"Huerfano County, CO", CO,Huerfano County,0.498412
"Pontotoc County, OK", OK,Pontotoc County,0.498411
"Mountrail County, ND", ND,Mountrail County,0.498383
"Freestone County, TX", TX,Freestone County,0.49836
"Orangeburg County, SC", SC,Orangeburg County,0.498248
"Dinwiddie County, VA", VA,Dinwiddie County,0.49819
"Gates County, NC", NC,Gates County,0.497768
"Cumberland County, VA", VA,Cumberland County,0.497661
"Putnam County, GA", GA,Putnam County,0.497584
"Bulloch County, GA", GA,Bulloch County,0.497338
"Tangipahoa Parish, LA", LA,Tangipahoa Parish,0.496912
"Bertie County, NC", NC,Bertie County,0.49686
"Randolph County, GA", GA,Randolph County,0.496482
"Jefferson Davis County, MS", MS,Jefferson Davis County,0.496278
"Christian County, KY", KY,Christian County,0.49616
"Bamberg County, SC", SC,Bamberg County,0.495821
"Georgetown County, SC", SC,Georgetown County,0.495749
"Hartley County, TX", TX,Hartley County,0.495291
"Ware County, GA", GA,Ware County,0.495272
"Beaufort County, NC", NC,Beaufort County,0.495151
"Covington County, MS", MS,Covington County,0.495025
"Warren County, GA", GA,Warren County,0.494816
"Terrebonne Parish, LA", LA,Terrebonne Parish,0.494638
"Johnson County, GA", GA,Johnson County,0.493985
"St. Charles Parish, LA", LA,St. Charles Parish,0.493778
"Winchester city, VA", VA,Winchester city,0.493706
"Dorchester County, MD", MD,Dorchester County,0.493641
"Washington County, OR", OR,Washington County,0.493451
"Simpson County, MS", MS,Simpson County,0.493429
"Jeff Davis County, TX", TX,Jeff Davis County,0.493394
"Webster Parish, LA", LA,Webster Parish,0.493346
"Liberty County, TX", TX,Liberty County,0.49331
"Prowers County, CO", CO,Prowers County,0.493042
"Glacier County, MT", MT,Glacier County,0.492832
"Sabine Parish, LA", LA,Sabine Parish,0.492445
"Nevada County, AR", AR,Nevada County,0.492333
"DuPage County, IL", IL,DuPage County,0.492293
"King and Queen County, VA", VA,King and Queen County,0.492199
"Runnels County, TX", TX,Runnels County,0.491683
"Bailey County, TX", TX,Bailey County,0.491621
"Alpine County, CA", CA,Alpine County,0.491441
"Calhoun County, MS", MS,Calhoun County,0.491255
"Charles Mix County, SD", SD,Charles Mix County,0.491125
"Castro County, TX", TX,Castro County,0.491073
"Pershing County, NV", NV,Pershing County,0.490852
"Phillips County, AR", AR,Phillips County,0.490589
"Gray County, TX", TX,Gray County,0.490496
"Pulaski County, IL", IL,Pulaski County,0.490321
"Kaufman County, TX", TX,Kaufman County,0.490261
"Latimer County, OK", OK,Latimer County,0.49012
"Sedgwick County, KS", KS,Sedgwick County,0.490071
"Mendocino County, CA", CA,Mendocino County,0.48984
"Madison Parish, LA", LA,Madison Parish,0.489518
"Adams County, WA", WA,Adams County,0.489189
"Jones County, MS", MS,Jones County,0.488874
"Big Horn County, MT", MT,Big Horn County,0.488617
"Parmer County, TX", TX,Parmer County,0.488337
"Lincoln County, NM", NM,Lincoln County,0.488307
"Talladega County, AL", AL,Talladega County,0.487915
"Treutlen County, GA", GA,Treutlen County,0.487881
"Lee County, SC", SC,Lee County,0.487133
"Jackson County, FL", FL,Jackson County,0.48701
"Lincoln County, AR", AR,Lincoln County,0.486708
"Yoakum County, TX", TX,Yoakum County,0.486037
"St. Martin Parish, LA", LA,St. Martin Parish,0.484996
"Hood River County, OR", OR,Hood River County,0.484716
"Lafayette Parish, LA", LA,Lafayette Parish,0.484672
"Power County, ID", ID,Power County,0.484552
"Sutton County, TX", TX,Sutton County,0.48357
"Lamar County, GA", GA,Lamar County,0.483283
"Atascosa County, TX", TX,Atascosa County,0.483069
"Corson County, SD", SD,Corson County,0.482813
"Mono County, CA", CA,Mono County,0.482499
"Menard County, TX", TX,Menard County,0.482363
"Dauphin County, PA", PA,Dauphin County,0.482295
"Montgomery County, GA", GA,Montgomery County,0.482282
"McIntosh County, OK", OK,McIntosh County,0.482254
"Aiken County, SC", SC,Aiken County,0.482243
"Monroe County, PA", PA,Monroe County,0.48208
"Champaign County, IL", IL,Champaign County,0.481917
"Harrisonburg city, VA", VA,Harrisonburg city,0.481823
"Orange County, NC", NC,Orange County,0.481789
"Person County, NC", NC,Person County,0.481742
"Hamilton County, OH", OH,Hamilton County,0.481693
"Luna County, NM", NM,Luna County,0.481636
"Bossier Parish, LA", LA,Bossier Parish,0.481481
"Franklin County, MS", MS,Franklin County,0.480677
"Clinch County, GA", GA,Clinch County,0.480346
"Humboldt County, NV", NV,Humboldt County,0.48026
"Dodge County, GA", GA,Dodge County,0.480133
"Tate County, MS", MS,Tate County,0.479879
"Elko County, NV", NV,Elko County,0.47965
"Clarke County, MS", MS,Clarke County,0.479531
"Burlington County, NJ", NJ,Burlington County,0.479367
"Williamsburg city, VA", VA,Williamsburg city,0.479026
"St. Louis County, MO", MO,St. Louis County,0.478893
"Jerome County, ID", ID,Jerome County,0.478635
"Lanier County, GA", GA,Lanier County,0.47837
"Johnston County, NC", NC,Johnston County,0.477976
"Marion County, OR", OR,Marion County,0.477956
"San Saba County, TX", TX,San Saba County,0.477309
"Stevens County, KS", KS,Stevens County,0.477129
"Minidoka County, ID", ID,Minidoka County,0.476751
"Highlands County, FL", FL,Highlands County,0.476665
"Avoyelles Parish, LA", LA,Avoyelles Parish,0.476636
"Bolivar County, MS", MS,Bolivar County,0.476531
"Hamilton County, KS", KS,Hamilton County,0.476376
"Lipscomb County, TX", TX,Lipscomb County,0.476363
"Pulaski County, MO", MO,Pulaski County,0.476335
"Costilla County, CO", CO,Costilla County,0.476334
"McCulloch County, TX", TX,McCulloch County,0.475982
"Lee County, AL", AL,Lee County,0.475562
"Coosa County, AL", AL,Coosa County,0.47498
"Winn Parish, LA", LA,Winn Parish,0.474835
"Valdez-Cordova Census Area, AK", AK,Valdez-Cordova Census Area,0.474737
"Jackson County, MS", MS,Jackson County,0.474727
"Greenville County, SC", SC,Greenville County,0.474382
"Chambers County, TX", TX,Chambers County,0.474088
"Reagan County, TX", TX,Reagan County,0.473889
"Williamsburg County, SC", SC,Williamsburg County,0.473051
"Pittsburg County, OK", OK,Pittsburg County,0.47289
"Marion County, MS", MS,Marion County,0.472884
"Hennepin County, MN", MN,Hennepin County,0.472869
"Carroll County, MS", MS,Carroll County,0.472853
"Glasscock County, TX", TX,Glasscock County,0.472771
"Vernon Parish, LA", LA,Vernon Parish,0.472444
"Crockett County, TX", TX,Crockett County,0.472156
"Cabarrus County, NC", NC,Cabarrus County,0.472135
"Lawrence County, MS", MS,Lawrence County,0.471709
"Monroe County, FL", FL,Monroe County,0.471566
"Umatilla County, OR", OR,Umatilla County,0.471531
"Issaquena County, MS", MS,Issaquena County,0.471441
"Spartanburg County, SC", SC,Spartanburg County,0.471425
"Douglas County, WA", WA,Douglas County,0.47142
"Lincoln County, GA", GA,Lincoln County,0.471384
"DeSoto County, MS", MS,DeSoto County,0.471287
"Lehigh County, PA", PA,Lehigh County,0.471196
"Carter County, OK", OK,Carter County,0.470863
"Ashley County, AR", AR,Ashley County,0.470825
"Washington Parish, LA", LA,Washington Parish,0.470683
"Delaware County, PA", PA,Delaware County,0.470458
"Houston County, AL", AL,Houston County,0.470455
"San Augustine County, TX", TX,San Augustine County,0.470432
"Do?a Ana County, NM", NM,Do?a Ana County,0.470253
"Drew County, AR", AR,Drew County,0.469828
"Pecos County, TX", TX,Pecos County,0.469302
"Union County, SC", SC,Union County,0.46879
"Suffolk County, NY", NY,Suffolk County,0.468776
"Fairbanks North Star Borough, AK", AK,Fairbanks North Star Borough,0.468523
"Sierra County, NM", NM,Sierra County,0.46851
"Carson City, NV", NV,Carson City,0.468465
"Assumption Parish, LA", LA,Assumption Parish,0.468315
"Lee County, FL", FL,Lee County,0.467708
"Montgomery County, TX", TX,Montgomery County,0.467128
"Hemphill County, TX", TX,Hemphill County,0.466856
"Appling County, GA", GA,Appling County,0.466746
"Custer County, OK", OK,Custer County,0.466396
"Chippewa County, MI", MI,Chippewa County,0.466258
"Lee County, MS", MS,Lee County,0.46585
"El Paso County, CO", CO,El Paso County,0.465689
"Catahoula Parish, LA", LA,Catahoula Parish,0.46567
"Fisher County, TX", TX,Fisher County,0.465557
"Weld County, CO", CO,Weld County,0.465316
"Jefferson County, KY", KY,Jefferson County,0.465121
"Sebastian County, AR", AR,Sebastian County,0.464907
"Franklin Parish, LA", LA,Franklin Parish,0.46428
"Charlotte County, VA", VA,Charlotte County,0.464137
"Butts County, GA", GA,Butts County,0.464117
"Lucas County, OH", OH,Lucas County,0.463857
"Washtenaw County, MI", MI,Washtenaw County,0.463465
"Anne Arundel County, MD", MD,Anne Arundel County,0.463435
"Multnomah County, OR", OR,Multnomah County,0.463244
"Laurens County, SC", SC,Laurens County,0.463094
"Saginaw County, MI", MI,Saginaw County,0.462977
"Spotsylvania County, VA", VA,Spotsylvania County,0.462061
"Haskell County, TX", TX,Haskell County,0.461653
"Douglas County, NE", NE,Douglas County,0.461351
"San Luis Obispo County, CA", CA,San Luis Obispo County,0.461168
"Camden County, GA", GA,Camden County,0.460708
"Kearny County, KS", KS,Kearny County,0.460697
"Ingham County, MI", MI,Ingham County,0.460696
"Winnebago County, IL", IL,Winnebago County,0.460538
"Calcasieu Parish, LA", LA,Calcasieu Parish,0.460464
"Columbia County, GA", GA,Columbia County,0.459782
"Lafayette County, FL", FL,Lafayette County,0.459528
"Upson County, GA", GA,Upson County,0.459482
"Dougherty County, GA", GA,Dougherty County,0.459434
"Wrangell City and Borough, AK", AK,Wrangell City and Borough,0.459282
"Worth County, GA", GA,Worth County,0.459178
"Kershaw County, SC", SC,Kershaw County,0.458886
"Aransas County, TX", TX,Aransas County,0.458668
"Wheeler County, TX", TX,Wheeler County,0.458657
"Lake County, TN", TN,Lake County,0.458456
"Evangeline Parish, LA", LA,Evangeline Parish,0.458428
"Henry County, AL", AL,Henry County,0.458425
"Fayette County, TN", TN,Fayette County,0.458204
"Jackson Parish, LA", LA,Jackson Parish,0.458114
"Johnston County, OK", OK,Johnston County,0.457992
"Coal County, OK", OK,Coal County,0.457798
"Union Parish, LA", LA,Union Parish,0.457789
"Choctaw County, MS", MS,Choctaw County,0.457591
"Irwin County, GA", GA,Irwin County,0.457449
"Owyhee County, ID", ID,Owyhee County,0.456673
"Lincoln County, MS", MS,Lincoln County,0.456623
"Eagle County, CO", CO,Eagle County,0.456385
"Hardeman County, TX", TX,Hardeman County,0.456357
"Clark County, AR", AR,Clark County,0.456246
"Dale County, AL", AL,Dale County,0.456053
"Bullock County, AL", AL,Bullock County,0.455794
"Polk County, TX", TX,Polk County,0.455449
"Dillingham Census Area, AK", AK,Dillingham Census Area,0.45543
"Chatham County, NC", NC,Chatham County,0.455254
"Ascension Parish, LA", LA,Ascension Parish,0.455234
"Fremont County, WY", WY,Fremont County,0.454651
"East Carroll Parish, LA", LA,East Carroll Parish,0.453534
"Monroe County, MS", MS,Monroe County,0.453225
"Coffee County, AL", AL,Coffee County,0.452732
"Peoria County, IL", IL,Peoria County,0.452343
"Atoka County, OK", OK,Atoka County,0.45183
"Culpeper County, VA", VA,Culpeper County,0.451731
"Crawford County, IA", IA,Crawford County,0.451626
"Bleckley County, GA", GA,Bleckley County,0.451218
"Wagoner County, OK", OK,Wagoner County,0.451123
"Perry County, AL", AL,Perry County,0.45099
"Lancaster County, VA", VA,Lancaster County,0.450788
"Lancaster County, SC", SC,Lancaster County,0.450722
"Falls Church city, VA", VA,Falls Church city,0.450661
"Tallapoosa County, AL", AL,Tallapoosa County,0.449672
"Miller County, AR", AR,Miller County,0.449569
"Chelan County, WA", WA,Chelan County,0.449488
"Tehama County, CA", CA,Tehama County,0.449472
"Pemiscot County, MO", MO,Pemiscot County,0.449114
"Le Flore County, OK", OK,Le Flore County,0.448921
"Briscoe County, TX", TX,Briscoe County,0.448628
"Snohomish County, WA", WA,Snohomish County,0.448191
"Monroe County, NY", NY,Monroe County,0.447941
"Lafayette County, MS", MS,Lafayette County,0.447832
"Comal County, TX", TX,Comal County,0.447469
"Henry County, VA", VA,Henry County,0.447298
"Yukon-Koyukuk Census Area, AK", AK,Yukon-Koyukuk Census Area,0.447209
"Miller County, GA", GA,Miller County,0.447154
"Gooding County, ID", ID,Gooding County,0.44709
"Lander County, NV", NV,Lander County,0.447005
"Lincoln County, ID", ID,Lincoln County,0.446872
"Hill County, MT", MT,Hill County,0.446804
"Wayne County, GA", GA,Wayne County,0.446628
"Allen Parish, LA", LA,Allen Parish,0.446437
"Union County, FL", FL,Union County,0.446389
"Garfield County, CO", CO,Garfield County,0.446238
"Haskell County, OK", OK,Haskell County,0.446161
"Haskell County, KS", KS,Haskell County,0.445952
"Abbeville County, SC", SC,Abbeville County,0.445417
"Marion County, TX", TX,Marion County,0.445415
"Crenshaw County, AL", AL,Crenshaw County,0.445408
"Irion County, TX", TX,Irion County,0.445284
"Putnam County, FL", FL,Putnam County,0.445197
"Arkansas County, AR", AR,Arkansas County,0.444622
"Hall County, NE", NE,Hall County,0.444213
"Fayette County, KY", KY,Fayette County,0.444007
"Esmeralda County, NV", NV,Esmeralda County,0.443834
"Washington County, AR", AR,Washington County,0.443694
"Polk County, GA", GA,Polk County,0.443599
"Northumberland County, VA", VA,Northumberland County,0.443375
"Hamilton County, TN", TN,Hamilton County,0.443172
"Woodruff County, AR", AR,Woodruff County,0.443008
"Real County, TX", TX,Real County,0.44249
"Coweta County, GA", GA,Coweta County,0.442433
"Marin County, CA", CA,Marin County,0.442392
"York County, VA", VA,York County,0.442352
"York County, SC", SC,York County,0.442307
"Bryan County, OK", OK,Bryan County,0.442237
"Isle of Wight County, VA", VA,Isle of Wight County,0.441937
"Floyd County, GA", GA,Floyd County,0.441415
"Marion County, FL", FL,Marion County,0.440316
"Manatee County, FL", FL,Manatee County,0.440223
"Rio Arriba County, NM", NM,Rio Arriba County,0.439907
"Jeff Davis County, GA", GA,Jeff Davis County,0.439733
"Rogers County, OK", OK,Rogers County,0.439544
"Kleberg County, TX", TX,Kleberg County,0.43945
"Love County, OK", OK,Love County,0.439377
"Carroll County, GA", GA,Carroll County,0.439015
"Hill County, TX", TX,Hill County,0.438718
"Cleveland County, OK", OK,Cleveland County,0.43831
"Liberty County, FL", FL,Liberty County,0.4376
"Lake County, FL", FL,Lake County,0.437584
"Rockwall County, TX", TX,Rockwall County,0.437303
"Kankakee County, IL", IL,Kankakee County,0.436835
"Quitman County, MS", MS,Quitman County,0.436648
"Kendall County, IL", IL,Kendall County,0.436344
"Dutchess County, NY", NY,Dutchess County,0.436062
"Morris County, NJ", NJ,Morris County,0.436011
"Kerr County, TX", TX,Kerr County,0.435695
"Dallas County, AL", AL,Dallas County,0.4342
"Hinds County, MS", MS,Hinds County,0.434097
"Deaf Smith County, TX", TX,Deaf Smith County,0.433894
"Pottawatomie County, OK", OK,Pottawatomie County,0.433827
"Fulton County, KY", KY,Fulton County,0.433733
"Baraga County, MI", MI,Baraga County,0.433451
"Lake County, CA", CA,Lake County,0.43342
"Pushmataha County, OK", OK,Pushmataha County,0.433283
"Hutchinson County, TX", TX,Hutchinson County,0.4329
"Taylor County, FL", FL,Taylor County,0.431635
"Montgomery County, OH", OH,Montgomery County,0.431605
"Lyon County, KS", KS,Lyon County,0.431593
"Uvalde County, TX", TX,Uvalde County,0.431513
"Jasper County, GA", GA,Jasper County,0.430705
"Racine County, WI", WI,Racine County,0.430525
"Salt Lake County, UT", UT,Salt Lake County,0.43042
"Oakland County, MI", MI,Oakland County,0.430307
"Panola County, TX", TX,Panola County,0.428968
"Perquimans County, NC", NC,Perquimans County,0.428922
"Rowan County, NC", NC,Rowan County,0.428703
"Barrow County, GA", GA,Barrow County,0.428644
"Fayette County, TX", TX,Fayette County,0.42817
"Union County, NC", NC,Union County,0.428108
"Genesee County, MI", MI,Genesee County,0.427875
"Ziebach County, SD", SD,Ziebach County,0.427673
"Washington County, OK", OK,Washington County,0.427552
"Rockingham County, NC", NC,Rockingham County,0.427547
"Schley County, GA", GA,Schley County,0.42736
"White Pine County, NV", NV,White Pine County,0.42711
"Wilkinson County, MS", MS,Wilkinson County,0.426977
"Benton County, WA", WA,Benton County,0.426929
"Canyon County, ID", ID,Canyon County,0.426789
"Morgan County, GA", GA,Morgan County,0.426681
"Greene County, MS", MS,Greene County,0.426515
"Sharkey County, MS", MS,Sharkey County,0.426233
"Red River County, TX", TX,Red River County,0.425545
"Sullivan County, NY", NY,Sullivan County,0.425527
"Columbia County, FL", FL,Columbia County,0.425468
"Murray County, OK", OK,Murray County,0.42533
"Wichita County, KS", KS,Wichita County,0.425044
"Hunt County, TX", TX,Hunt County,0.424854
"Rock Island County, IL", IL,Rock Island County,0.423906
"Butte County, CA", CA,Butte County,0.423592
"Walla Walla County, WA", WA,Walla Walla County,0.423472
"Rutherford County, TN", TN,Rutherford County,0.423247
"Montezuma County, CO", CO,Montezuma County,0.422692
"Nome Census Area, AK", AK,Nome Census Area,0.421728
"Washington County, MS", MS,Washington County,0.421677
"Monroe County, GA", GA,Monroe County,0.42165
"Volusia County, FL", FL,Volusia County,0.420775
"Lampasas County, TX", TX,Lampasas County,0.420595
"Churchill County, NV", NV,Churchill County,0.420549
"Amelia County, VA", VA,Amelia County,0.420531
"Cassia County, ID", ID,Cassia County,0.42045
"Calhoun County, AL", AL,Calhoun County,0.420387
"Albany County, NY", NY,Albany County,0.420065
"Newton County, TX", TX,Newton County,0.4194
"Calhoun County, AR", AR,Calhoun County,0.419252
"Little River County, AR", AR,Little River County,0.418863
"Apache County, AZ", AZ,Apache County,0.418588
"Bryan County, GA", GA,Bryan County,0.418272
"Comanche County, TX", TX,Comanche County,0.418065
"Ferry County, WA", WA,Ferry County,0.417565
"Placer County, CA", CA,Placer County,0.417471
"St. Joseph County, IN", IN,St. Joseph County,0.417403
"Elmore County, ID", ID,Elmore County,0.417374
"Wilcox County, AL", AL,Wilcox County,0.417309
"Mississippi County, MO", MO,Mississippi County,0.41724
"Cherokee County, SC", SC,Cherokee County,0.41695
"Gulf County, FL", FL,Gulf County,0.416587
"Pender County, NC", NC,Pender County,0.416583
"King George County, VA", VA,King George County,0.416549
"Jones County, GA", GA,Jones County,0.416413
"Dewey County, SD", SD,Dewey County,0.41609
"Noxubee County, MS", MS,Noxubee County,0.416043
"Los Alamos County, NM", NM,Los Alamos County,0.415755
"Lee County, GA", GA,Lee County,0.415404
"Okaloosa County, FL", FL,Okaloosa County,0.415203
"Brown County, TX", TX,Brown County,0.414858
"Shawnee County, KS", KS,Shawnee County,0.414644
"Hopkins County, TX", TX,Hopkins County,0.414569
"Kimble County, TX", TX,Kimble County,0.41435
"Leflore County, MS", MS,Leflore County,0.414104
"Morton County, KS", KS,Morton County,0.41396
"Beltrami County, MN", MN,Beltrami County,0.413556
"Hancock County, GA", GA,Hancock County,0.413422
"Allendale County, SC", SC,Allendale County,0.412457
"Blaine County, OK", OK,Blaine County,0.412397
"Saline County, NE", NE,Saline County,0.411712
"Jackson County, IL", IL,Jackson County,0.411708
"Essex County, MA", MA,Essex County,0.411591
"Paulding County, GA", GA,Paulding County,0.411326
"Kent County, MI", MI,Kent County,0.410927
"Middlesex County, MA", MA,Middlesex County,0.410254
"Sussex County, DE", DE,Sussex County,0.410139
"Crawford County, GA", GA,Crawford County,0.409886
"Cleveland County, NC", NC,Cleveland County,0.409754
"Pamlico County, NC", NC,Pamlico County,0.409697
"Mackinac County, MI", MI,Mackinac County,0.409694
"Kiowa County, OK", OK,Kiowa County,0.409428
"Clay County, FL", FL,Clay County,0.409399
"Lavaca County, TX", TX,Lavaca County,0.409318
"Brown County, IL", IL,Brown County,0.409032
"Culberson County, TX", TX,Culberson County,0.409028
"Lamar County, TX", TX,Lamar County,0.408744
"Allen County, IN", IN,Allen County,0.408551
"Elmore County, AL", AL,Elmore County,0.408283
"Gaston County, NC", NC,Gaston County,0.408181
"Bacon County, GA", GA,Bacon County,0.408091
"Sunflower County, MS", MS,Sunflower County,0.406226
"Jasper County, TX", TX,Jasper County,0.405884
"Cross County, AR", AR,Cross County,0.405818
"Stephens County, TX", TX,Stephens County,0.405812
"San Jacinto County, TX", TX,San Jacinto County,0.405581
"Bingham County, ID", ID,Bingham County,0.405175
"Benton County, AR", AR,Benton County,0.404968
"Reeves County, TX", TX,Reeves County,0.404966
"Pinellas County, FL", FL,Pinellas County,0.40487
"Flagler County, FL", FL,Flagler County,0.404212
"Suwannee County, FL", FL,Suwannee County,0.403443
"Bedford city, VA", VA,Bedford city,0.403331
"St. Mary's County, MD", MD,St. Mary's County,0.402776
"Lowndes County, AL", AL,Lowndes County,0.401937
"Scotts Bluff County, NE", NE,Scotts Bluff County,0.401652
"Marshall County, IA", IA,Marshall County,0.401517
"Johnson County, TX", TX,Johnson County,0.401421
"Schenectady County, NY", NY,Schenectady County,0.401417
"Berrien County, MI", MI,Berrien County,0.401358
"Forest County, PA", PA,Forest County,0.401317
"Monmouth County, NJ", NJ,Monmouth County,0.40128
"Humboldt County, CA", CA,Humboldt County,0.400875
"Kay County, OK", OK,Kay County,0.400622
"Beaver County, OK", OK,Beaver County,0.39999
"Berks County, PA", PA,Berks County,0.399805
"Pittsylvania County, VA", VA,Pittsylvania County,0.399682
"Crockett County, TN", TN,Crockett County,0.399306
"Bradford County, FL", FL,Bradford County,0.398624
"Lamar County, MS", MS,Lamar County,0.398006
"Boone County, IL", IL,Boone County,0.397937
"Sumter County, AL", AL,Sumter County,0.397632
"Frederick County, MD", MD,Frederick County,0.397456
"Salem County, NJ", NJ,Salem County,0.397373
"Randolph County, AL", AL,Randolph County,0.39737
"Burnet County, TX", TX,Burnet County,0.396877
"Randall County, TX", TX,Randall County,0.396495
"Lawrence County, AL", AL,Lawrence County,0.396034
"Brevard County, FL", FL,Brevard County,0.395788
"Hardin County, KY", KY,Hardin County,0.395103
"Catron County, NM", NM,Catron County,0.395002
"James City County, VA", VA,James City County,0.394935
"Southeast Fairbanks Census Area, AK", AK,Southeast Fairbanks Census Area,0.394359
"Lexington County, SC", SC,Lexington County,0.394225
"Bibb County, AL", AL,Bibb County,0.3941
"Beckham County, OK", OK,Beckham County,0.393611
"New London County, CT", CT,New London County,0.393122
"Skagit County, WA", WA,Skagit County,0.392359
"Hart County, GA", GA,Hart County,0.392314
"Thurston County, WA", WA,Thurston County,0.391913
"Woodbury County, IA", IA,Woodbury County,0.391637
"Humphreys County, MS", MS,Humphreys County,0.391594
"Rankin County, MS", MS,Rankin County,0.391355
"Wasco County, OR", OR,Wasco County,0.391352
"Elkhart County, IN", IN,Elkhart County,0.391267
"Greer County, OK", OK,Greer County,0.391145
"Kenedy County, TX", TX,Kenedy County,0.390945
"Tunica County, MS", MS,Tunica County,0.390752
"Foard County, TX", TX,Foard County,0.389537
"Smith County, MS", MS,Smith County,0.389503
"Indian River County, FL", FL,Indian River County,0.388965
"Autauga County, AL", AL,Autauga County,0.388898
"Amherst County, VA", VA,Amherst County,0.388727
"Oglethorpe County, GA", GA,Oglethorpe County,0.387933
"King William County, VA", VA,King William County,0.387107
"Kendall County, TX", TX,Kendall County,0.386932
"Yell County, AR", AR,Yell County,0.386886
